"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Grenada","GRD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","5","7","31","49","62","77","48","89","85","96","73","99","87","88","85","92","97","94","92","99","96","99","74","99","98","98","99","98","95","95","94","94","94","99","",
"Greenland","GRL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","23","8","12","9","24","23","55","24","55","60","68","49","59","71","66","83","69","74","79","83","86","91","92","94","95","93","95","86","96","92","93","89","93","85","67","99","",
"Guam","GUM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","68","51","56","40","42","52","55","69","73","76","73","92","83","77","91","82","93","87","86","92","93","89","88","92","90","96","95","97","95","98","99","99","99","99","",
"High income","HIC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","65.170779901665","67.4960288448952","70.3539999874932","70.5077526811611","75.2268942865969","79.2871948906414","81.2871760023267","78.0276351946614","84.1604110033474","86.5137669411586","84.1856792462235","83.7246937573405","82.5204751022645","84.0603345016124","87.2910411347422","88.6129072261264","89.901394189094","89.7546210970964","89.7298081579974","90.6616764274903","91.1551164496072","91.595763555323","92.0986017943933","92.8317184574739","93.0838254289126","92.7549375624991","93.0333196509748","92.9944778327883","93.1078657974771","92.3293609925188","93.2774130594148","93.403539784403","93.7693129261885","93.737904638001","94.1081351435598","93.862271418047","",
"Hong Kong SAR, China","HKG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","31","34","48","49","44","53","60","57","76","94","90","86","89","94","93","89","91","89","98","98","98","99","97","95","92","96","97","96","95","99","98","95","93","89","88","87","",
"Heavily indebted poor countries (HIPC)","HPC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","22.1924849606977","24.6943708083647","26.9430953530173","25.6177555603751","29.8841777152155","36.853293595022","39.7853312477592","45.4812694274278","49.4930609926619","53.4418266932091","46.9715842787685","46.5372552066622","48.4431363103894","54.6765634148645","53.2605884763278","54.0985037451578","52.6159110773715","50.6526245142551","50.3118426201722","54.5130315225213","54.9446043128772","57.2553066401873","61.0998121632942","63.389587557089","66.1261204916179","68.5268797341549","70.8091936174511","70.40214418666","73.9681231720735","76.1505400904272","75.9974707414063","77.0640765156839","77.3298513594156","78.0281176283508","79.6780572552833","",
"Croatia","HRV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","92","92","91","91","92","93","94","95","95","96","96","95","96","98","95","96","96","95","94","94","93","",
"Haiti","HTI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","3","6","8","21","26","23","59","31","31","35","39","44","48","49","50","52","53","54","55","55","56","57","57","58","59","60","62","63","64","65","65","65","53","53","",
"Hungary","HUN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"IBRD only","IBD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","47.264566656879","44.7976688741294","55.3908974074727","66.5694669060271","70.7856114087711","77.5956440449945","72.7296446401653","73.6350953390352","74.0848210250171","74.7461230531933","77.9819370014459","77.8046967893813","74.9616821022658","74.485309920002","75.6163171662288","75.6139710710423","76.5860495887989","75.5364533471285","77.0172587183839","78.9053380776099","80.4565376749376","83.0275206430247","83.538206093587","85.0185939544702","87.4310074856053","88.772731960542","89.7773498886041","89.8870257582749","89.3674618261229","89.4845681361711","89.5343361510273","",
"IDA & IBRD total","IBT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","47.0118133396979","41.7371536721731","41.6044007702783","50.2047632774794","60.4121874387695","66.3575897851609","72.4954446427804","68.3152797233625","68.6099596237929","69.0666336139554","70.3359204473745","72.3190889176247","71.6666969804398","69.7313825820142","69.2297765864286","69.6613670514298","70.2547286668335","70.8011192912575","70.342691759705","72.000284780068","74.2099541079781","76.1414661065242","78.1225003137067","78.5704045507493","80.2533191309673","82.6722832522293","83.8859517087699","83.8522207145591","83.4860945783119","83.176555560804","83.5596742174741","83.9076226734312","",
"IDA total","IDA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","18.468058280241","20.6008795913583","26.3827433287299","33.0924889359308","36.347455717281","43.8987798785667","54.53468952496","59.0886760795932","56.7689744380182","56.0577244868168","57.1335521453886","60.3277556741221","59.9929254121812","59.2410083936665","59.0262224588847","58.7151438550497","58.0526892353334","59.9917578010123","59.8676823349096","60.6794963291603","62.7750265334288","65.6796478277491","68.4059410261571","69.3606400420531","69.9325410150019","72.1041675712249","74.6594226771095","75.7659740667652","74.2559290010128","73.1120702797903","73.2184656265062","74.1164630840568","75.0564262901873","",
"IDA blend","IDB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","19.4087795379679","28.2600728757637","38.5381794478168","42.3287164933241","50.6845687600499","59.7283611347033","61.021938455055","61.7136644222002","59.1115513300299","57.7428207571299","58.5041087284943","58.3910672684795","57.0175628080857","57.1752983502918","57.5886772611385","56.6235288215538","57.2041099384182","56.8567836099336","56.7445246330701","57.7256397273273","60.969258419629","64.2923094331516","64.9657145485845","61.3422094544764","67.4098038187122","68.7008984476015","70.3219070187442","65.6744510347919","62.655661282673","64.6152380215963","65.9182356252898","66.6974454235916","",
"Indonesia","IDN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","6","13","26","45","48","51","54","58","61","65","68","66","63","79","77","77","77","76","76","72","74","76","77","79","76","76","74","78","80","82","81","77","69","",
"IDA only","IDX","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","17.1744269762425","19.1979477372424","21.3329387719115","25.2828125021427","30.1488007977836","33.0916173473342","40.1993718469259","51.7064517248394","58.0405900846081","54.0952481511941","54.3398795223384","56.7965074605216","61.3234168928805","60.8551294479743","60.4161887333752","59.9877139438842","59.2899665116303","58.7629720003645","61.357250269199","61.3145758099911","62.5754196370755","65.1945259425136","67.9329406192426","70.3785076918539","71.4787982970469","74.1191962951871","74.4182529132605","77.6302667328393","78.5077712757058","78.5972568935488","78.3886771596215","77.5782692710589","78.2773732189215","79.2926681612223","",
"Isle of Man","IMN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","1","10","24","32","42","56","43","51","59","67","72","66","55","53","56","56","57","56","60","64","68","69","70","72","78","82","84","83","83","85","87","",
"Not classified","INX","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","10","10","63","65","66","68","78","78","78","78","78","78","77","77","77","77","77","79","73","73","78","81","84","86","87","89","90","90","92","92","92","93","93","",
"Iran, Islamic Rep.","IRN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","39","48","55","38","38","62","55","55","83","79","85","84","96","96","97","95","99","95","99","99","99","96","99","99","96","94","99","97","98","99","99","99","98","98","99","99","",
"Iraq","IRQ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","9","10","11","12","25","70","75","91","85","79","75","71","67","63","72","80","82","85","88","90","86","82","77","73","69","69","62","64","76","81","75","77","69","63","57","57","",
"Iceland","ISL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","81","96","96","95","97","99","99","99","99","99","99","98","99","99","99","96","94","91","88","91","93","93","90","95","95","96","92","93","94","90","91","90","93","",
"Israel","ISR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","81","83","88","85","85","85","88","88","86","88","91","94","94","92","92","93","96","97","94","94","95","95","95","96","97","94","96","97","98","96","96","97","96","96","96","98","",
"Italy","ITA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","50","50","50","50","50","55","57","55","70","74","77","81","84","86","87","88","90","90","90","91","90","90","90","87","85","",
"Jamaica","JAM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","12","15","60","64","36","62","68","71","74","77","63","80","82","90","96","88","88","82","88","85","86","78","86","84","87","76","88","88","89","88","93","94","92","91","",
"Jordan","JOR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","29","40","48","56","65","73","81","87","87","84","87","85","91","88","91","92","94","95","93","83","94","99","95","96","99","95","99","95","95","95","98","98","98","97","98","94","",
"Japan","JPN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","69","68","66","70","73","73","74","75","76","77","73","71","69","68","81","93","94","94","95","95","96","98","98","98","98","98","97","96","95","94","94","94","96","95","98","96","",
"Kazakhstan","KAZ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","91","91","95","97","97","99","99","99","95","95","99","99","99","99","99","99","99","99","99","96","99","99","99","",
"Kenya","KEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","55","63","65","69","72","75","78","81","84","84","84","83","81","79","90","76","78","77","78","72","73","69","77","80","90","88","86","87","93","73","79","75","",
"Kyrgyz Republic","KGZ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","93","88","97","98","98","98","99","98","99","98","99","99","99","97","99","99","99","99","97","98","99","96","99","",
"Cambodia","KHM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","27","29","54","53","39","39","34","39","33","36","50","62","56","50","54","63","65","59","52","65","80","79","78","79","89","92","89","83","79","76","80","81","",
"Kiribati","KIR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","24","8","4","9","14","54","63","75","62","77","89","70","47","64","82","77","62","80","76","88","72","56","85","61","93","72","82","89","90","91","91","88","84","",
"St. Kitts and Nevis","KNA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","85","91","96","91","77","90","99","99","99","99","99","99","99","97","99","99","99","90","99","98","98","99","99","99","99","99","99","99","95","99","93","95","",
"Korea, Rep.","KOR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4","5","5","33","61","89","89","82","70","95","93","93","93","92","92","93","89","85","85","90","95","96","97","96","99","99","99","92","92","93","98","99","99","99","99","98","",
"Kosovo","KSV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","48","71","79","80","88","91","93","95","97","98","66","75","85","95","98","98","99","95","99","96","99","99","97","97","97","99","99","99","99","99","98","99","99","99","94","93","",
"Latin America & Caribbean (excluding high income)","LAC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41.9233269902393","49.2485430595268","47.4368084051369","46.5399420657749","50.8455597637084","59.2226974790017","60.2371559570382","59.2782491425908","65.0042956297557","68.964779815443","75.2608607702945","79.9615112455887","82.4492780770494","81.6512171861187","82.2080068995847","85.8734031969798","83.9403682965851","88.432701475598","90.7793131850582","92.1629804521804","93.5678962473183","94.7797383210202","93.5546898916512","94.01010866322","93.3022407860118","93.0317365324939","94.5889539501556","94.0437574902027","95.1960839089172","94.1722925081104","93.4501995926316","94.5440268097867","95.4450137990755","91.9511173991072","92.9866964604944","94.3335805421295","",
"Lao PDR","LAO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","7","7","7","6","6","10","11","23","20","32","47","46","46","73","68","73","67","71","71","42","50","55","42","36","41","48","40","52","59","64","69","72","82","87","88","",
"Lebanon","LBN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","1","8","16","23","30","39","48","58","61","65","76","88","88","85","85","89","83","77","71","65","59","53","58","63","69","74","79","79","79","79","79","79","79","79","",
"Liberia","LBR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","63","58","52","47","41","62","63","71","76","83","65","71","80","74","58","64","",
"Libya","LBY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","61","66","65","71","76","75","78","75","76","79","89","87","88","91","92","92","93","91","92","92","93","93","91","96","99","97","98","98","98","98","98","98","98","96","93","93","",
"St. Lucia","LCA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","43","36","60","68","91","81","83","91","82","97","75","94","92","94","95","95","90","95","88","89","98","90","95","94","94","94","99","99","95","91","99","99","99","97","",
"Latin America & Caribbean","LCN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","43.194349725872","50.3533870771376","48.5775562035296","47.7497357297975","51.8119527240197","59.9287360221018","61.0344206647234","60.253033548262","65.8101332712795","69.5978714442002","75.915379581815","80.5684636129146","82.6773090105192","82.0164948686938","82.5976492831152","86.1609053630552","84.1931554753003","88.6284793518103","90.9713897115059","92.2261193240652","93.6174679649347","94.7965371834357","93.5828510230634","94.0458769143908","93.3277875726012","92.9715225945348","94.4944236070835","93.9979295544989","95.2028924636316","94.147649473547","93.4428297926239","94.458598033875","95.3036209013891","91.9240919493169","93.0943682617055","94.3687730748606","",
"Least developed countries: UN classification","LDC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","16.0723520854855","18.8236158455173","19.1065648191938","22.9413412460032","27.3004676001277","30.8597009517249","37.7666288234086","48.8712584538293","55.245109170923","50.9659009768157","50.5241153440322","53.3641377892547","58.4459591025404","57.977659835763","57.7291291782032","57.6190851791687","55.5963541651892","55.4010685428424","57.5216277585426","58.5939689039339","59.9532593759111","62.8186251306472","65.6446993953551","67.7629337877286","68.8652200015043","72.6770113236696","72.5306374652351","75.7003382828663","77.1512591586089","77.5579514283049","77.0945732686885","76.9927262772945","77.5551150444699","78.514911911573","",
"Low income","LIC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","24.0686766076751","25.8962740159668","28.2357636642894","27.0499749443991","31.9499381103428","38.8267466840337","39.8970948864186","45.8640887955855","49.4317940841121","53.3847051795715","46.6630815243895","46.6187523339981","48.9523746930989","55.1192462674429","52.5686199573633","52.7545289502867","50.9507484521855","48.6100973793722","49.2455664381321","52.5702624469962","53.3726687650845","55.8405000544052","59.4827020007597","61.4699034554338","64.2333470341696","67.2990576103548","69.0838462434391","68.8211920277332","73.0682615282782","74.8134031388019","75.8613233208731","76.1270074038063","75.857662889503","76.7084211064757","78.0100320323309","",
"Liechtenstein","LIE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","3","20","45","60","68","76","80","79","82","86","84","87","89","94","94","95","99","99","99","99","96","99","99","98","98","97","99","99","99","99","99","99","",
"Lower middle income","LMC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","16.2336390638562","25.1252466440811","33.9539954128532","42.0699606621408","52.8028454821906","61.4544008797837","55.7209437040975","59.6108443975194","63.6197272580605","67.3122094487877","69.6025723087301","67.6813379057229","63.0263655566664","62.848288084416","63.7165201561033","64.1928385117081","64.5942899928529","63.8267128405439","66.3210727292387","69.8708366772252","72.7978199879961","73.1711591146575","73.1646858814956","75.4880007423586","78.1906452388171","80.0161127077995","79.5639860164064","78.6540111739003","78.9660027687731","79.3365752272415","79.6625049090079","",
"Low & middle income","LMY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","46.3792139687475","41.3054446916528","41.2078254595298","49.8277036040652","60.1572835051114","66.2998009030576","72.4291982422516","68.2413206926644","68.5619245201523","69.0083426605228","70.2203696485324","72.1463777011636","71.4201837948834","69.4263977812889","68.9881916156167","69.4860620919488","70.1358083361727","70.7399840006187","70.3053641817077","71.9589393839359","74.1751503676431","76.1162338302307","78.0931141918043","78.5455454791176","80.2168271882907","82.6468675614533","83.8645044748424","83.8305930697863","83.4722547504247","83.1635272284749","83.5387723817089","83.8927869374553","",
"Lesotho","LSO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","49","49","51","53","63","73","76","78","79","79","80","81","81","82","82","83","82","80","79","77","74","70","78","85","84","83","82","81","80","84","88","92","91","90","90","90","",
"Late-demographic dividend","LTE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","68.3259618736488","70.6144684879388","74.9898025319502","61.2342854022741","72.1709690334993","86.7476699341039","88.7013235519911","93.6632211756385","90.1450878456558","86.4082952557004","83.3420946559168","79.0187053183994","83.794702103655","85.5601776152152","86.9227683124995","86.8463083905131","88.1590476721398","88.920788370115","89.914662534781","89.5182178530237","89.3554313159929","90.3031007179898","90.567353994285","94.3702856600221","94.4944148024542","96.8243148652518","97.969837342851","98.0900645211374","97.9505942242167","98.1066866734532","98.2609749184438","98.161931414998","98.1838614447279","",
"Lithuania","LTU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","92","93","94","96","96","97","97","97","97","98","98","98","97","97","97","97","96","96","94","93","93","93","94","",
"Luxembourg","LUX","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","39","49","58","68","77","71","80","80","80","80","83","86","88","91","91","92","92","93","94","94","95","95","95","95","96","96","96","96","96","99","99","99","99","",
"Latvia","LVA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","80","81","81","96","97","97","97","97","98","98","98","98","98","98","95","96","92","95","92","90","96","95","96","",
"Macao SAR, China","MAC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","17","35","42","45","58","73","81","82","79","80","81","83","87","88","93","92","91","90","93","96","94","90","95","97","95","95","96","98","98","99","99","99","99","99","",
"Monaco","MCO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","99","99","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Moldova","MDA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","64","85","91","90","95","93","93","89","94","94","96","96","97","96","96","95","90","97","91","91","91","90","89","",
"Madagascar","MDG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","1","6","18","28","36","44","47","54","54","54","63","55","46","46","51","55","57","59","61","65","79","74","71","81","70","63","66","62","61","63","64","58","",
"Maldives","MDV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","39","34","37","40","47","50","41","83","88","96","97","98","86","97","96","95","96","98","97","99","98","97","96","97","97","97","97","97","98","97","96","98","99","99","99","",
"Middle East & North Africa","MEA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","30.5012837352012","34.2776035570382","37.7915507828615","36.6961127994998","41.6512173296167","61.05188180414","64.0590154107168","66.3409067485198","78.2423004838674","80.8641666836792","83.1629717646046","82.7263420540858","84.1998164907879","84.6059849605958","84.3082337676352","85.3575954009827","87.4069336640783","86.9224248307602","90.7639609034253","90.6003330818737","90.7063141674395","89.8275995622641","88.9907032663767","88.5488301097564","88.6867766233938","88.6554961501956","88.4324693130338","88.6710968570636","88.7614990996026","90.5310397896702","90.6894522594988","90.668188459015","87.9465269526587","88.4587439115555","86.7799732739588","86.400831310434","",
"Mexico","MEX","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","35","33","37","23","21","64","60","54","70","85","75","89","88","79","90","90","93","91","96","94","96","95","96","96","96","96","96","96","96","96","95","98","99","89","97","97","",
"Marshall Islands","MHL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","25","39","52","74","86","36","59","57","69","52","93","93","94","64","80","90","70","86","96","94","86","78","97","88","78","79","79","75","",
"Middle income","MIC","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","49.076852644771","42.3347397922166","41.4731842072594","50.9275702949591","61.7430176314923","68.1904989624336","74.6102077694416","70.7433870099261","71.1361128134922","71.504303109684","72.1975903135148","74.8314680040652","74.1771991510914","72.1610445714725","72.1002810026214","72.7172601719918","73.0139781197248","73.6545211133109","72.7703772061141","74.1210798036735","76.4121446305132","78.2412521922655","80.0353959553088","80.2887666502328","82.3479288452957","84.4636340804277","85.6034779386983","85.4124252742659","84.9365718141058","84.633954574902","84.9293698967987","85.1088040891252","",
"Macedonia, FYR","MKD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","88","97","91","98","96","98","97","92","98","96","96","96","94","96","98","96","98","97","96","96","93","89","",
"Mali","MLI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","19","27","11","23","40","43","42","35","51","46","52","57","56","54","51","49","54","56","57","63","73","68","66","71","73","78","72","75","80","80","76","",
"Malta","MLT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","10","10","35","59","41","86","80","90","92","90","71","51","51","56","60","67","74","70","65","90","94","86","94","79","78","82","73","84","93","99","98","89","",
"Myanmar","MMR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","5","17","32","50","68","67","68","71","77","82","86","88","89","86","84","73","77","80","86","84","78","81","82","87","88","88","84","86","86","86","",
"Middle East & North Africa (excluding high income)","MNA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","31.2904451600885","35.1335018262984","35.5969903699063","33.256174522376","38.0892038293289","59.2425334720511","62.4535536379775","64.8711632246641","77.7912287306118","79.8617323022353","82.6828332632113","81.5525332565761","83.6305304988418","83.7863051901003","83.2556830155588","84.320355156964","86.7062341698029","86.1256834417406","90.3796874788845","90.2831334428835","90.1800665237327","89.1808562011255","87.9862229700638","87.5623357013948","87.6067667926616","87.6412473960925","87.5534835331679","87.7049972080715","87.6855728810896","89.6190847569207","89.8005734144701","89.7397487842507","86.6959705538245","87.2796981286888","85.4387067946557","84.9958056153466","",
"Montenegro","MNE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","89","86","90","91","90","88","76","64","",
"Mongolia","MNG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","17","12","6","1","20","18","11","61","70","86","92","82","84","84","80","85","89","91","93","93","92","95","98","98","99","97","99","98","97","94","97","98","99","97","98","98","",
"Northern Mariana Islands","MNP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","32","58","51","50","39","39","37","44","48","59","55","56","62","65","71","58","61","64","67","71","74","77","80","79","78","76","75","77","80","82","82","82","85","85","85","",
"Mauritania","MRT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","45","44","43","42","41","40","27","45","42","38","32","43","49","53","67","66","64","62","62","46","58","87","84","73","65","62","67","65","59","67","67","75","80","84","70","",
"Mauritius","MUS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","34","53","55","67","71","69","73","80","76","88","84","84","85","89","61","87","85","80","84","90","84","91","98","98","99","98","98","99","99","99","99","99","98","99","",
